Time - V_S	Amplitude - V_S	Time - V_R	Amplitude - V_R	Time - V_C	Amplitude - V_C
0,000336	-2,23705	0,000336	-1,52753	0,000336	-0,0561656
0,000338	-2,23834	0,000338	-1,5293	0,000338	-0,0537506
0,00034	-2,23351	0,00034	-1,53091	0,00034	-0,0524626
0,000342	-2,24027	0,000342	-1,53333	0,000342	-0,0561656
0,000344	-2,23738	0,000344	-1,5359	0,000344	-0,0568096
0,000346	-2,23609	0,000346	-1,53671	0,000346	-0,0511746
0,000348	-2,23544	0,000348	-1,53864	0,000348	-0,0569706
0,00035	-2,23722	0,00035	-1,54106	0,00035	-0,0564876
0,000352	-2,23609	0,000352	-1,54234	0,000352	-0,0563266
0,000354	-2,23544	0,000354	-1,54444	0,000354	-0,0547166
0,000356	-2,23206	0,000356	-1,54556	0,000356	-0,0584195
0,000358	-2,23528	0,000358	-1,54766	0,000358	-0,0551996
0,00036	-2,22723	0,00036	-1,54943	0,00036	-0,0561656
0,000362	-2,23512	0,000362	-1,55104	0,000362	-0,0571316
0,000364	-2,23544	0,000364	-1,55249	0,000364	-0,0587415
0,000366	-2,22965	0,000366	-1,55442	0,000366	-0,0574536
0,000368	-2,23335	0,000368	-1,55587	0,000368	-0,0564876
0,00037	-2,23174	0,00037	-1,55716	0,00037	-0,0579366
0,000372	-2,23045	0,000372	-1,5586	0,000372	-0,0540726
0,000374	-2,23078	0,000374	-1,5607	0,000374	-0,0589025
0,000376	-2,23335	0,000376	-1,56166	0,000376	-0,0564876
0,000378	-2,23142	0,000378	-1,56295	0,000378	-0,0574536
0,00038	-2,23094	0,00038	-1,56472	0,00038	-0,0593855
0,000382	-2,23029	0,000382	-1,56553	0,000382	-0,0561656
0,000384	-2,22884	0,000384	-1,5673	0,000384	-0,0600295
0,000386	-2,22981	0,000386	-1,56859	0,000386	-0,0547166
0,000388	-2,23029	0,000388	-1,56939	0,000388	-0,0585805
0,00039	-2,2311	0,00039	-1,57116	0,00039	-0,0566486
0,000392	-2,22965	0,000392	-1,57229	0,000392	-0,0589025
0,000394	-2,22482	0,000394	-1,57374	0,000394	-0,0576146
0,000396	-2,22868	0,000396	-1,57519	0,000396	-0,0589025
0,000398	-2,22868	0,000398	-1,57551	0,000398	-0,0593855
0,0004	-2,229	0,0004	-1,5768	0,0004	-0,0627665
0,000402	-2,23045	0,000402	-1,57825	0,000402	-0,0590635
0,000404	-2,22868	0,000404	-1,57905	0,000404	-0,0580976
0,000406	-2,22868	0,000406	-1,58018	0,000406	-0,0582586
0,000408	-2,23078	0,000408	-1,58147	0,000408	-0,0587415
0,00041	-2,22884	0,00041	-1,58211	0,00041	-0,0592245
0,000412	-2,22707	0,000412	-1,5834	0,000412	-0,0556826
0,000414	-2,22868	0,000414	-1,58436	0,000414	-0,0621225
0,000416	-2,22723	0,000416	-1,58533	0,000416	-0,0587415
0,000418	-2,22836	0,000418	-1,58678	0,000418	-0,0569706
0,00042	-2,22707	0,00042	-1,58758	0,00042	-0,0582586
0,000422	-2,22675	0,000422	-1,58839	0,000422	-0,0603515
0,000424	-2,22836	0,000424	-1,58919	0,000424	-0,0566486
0,000426	-2,22933	0,000426	-1,59016	0,000426	-0,0574536
