Time - V_C	Amplitude - V_C	Time - V_R	Amplitude - V_R	Time - V_S	Amplitude - V_S
0,00588	1,17961	0,00588	0,766307	0,00588	-0,00960529
0,0059	1,20134	0,0059	0,784655	0,0059	-0,0078349
0,00592	1,22983	0,00592	0,802359	0,00592	-0,00558169
0,00594	1,25268	0,00594	0,820063	0,00594	-0,00397225
0,00596	1,27232	0,00596	0,837928	0,00596	-0,00912246
0,00598	1,2992	0,00598	0,855632	0,00598	-0,0067083
0,006	1,32189	0,006	0,87237	0,006	-0,00493791
0,00602	1,34104	0,00602	0,890074	0,00602	-0,0026847
0,00604	1,36663	0,00604	0,907134	0,00604	-0,00493791
0,00606	1,38723	0,00606	0,923711	0,00606	-0,00284564
0,00608	1,40944	0,00608	0,941093	0,00608	-0,00912246
0,0061	1,42972	0,0061	0,957832	0,0061	-0,00896151
0,00612	1,45145	0,00612	0,974087	0,00612	-0,00413319
0,00614	1,47221	0,00614	0,990503	0,00614	-0,00300659
0,00616	1,49507	0,00616	1,0066	0,00616	-0,00493791
0,00618	1,51406	0,00618	1,02301	0,00618	-0,00815679
0,0062	1,53386	0,0062	1,03847	0,0062	-0,00300659
0,00622	1,55735	0,00622	1,05472	0,00622	-0,00799585
0,00624	1,57876	0,00624	1,07033	0,00624	-0,00381131
0,00626	1,59453	0,00626	1,08562	0,00626	-0,00493791
0,00628	1,61014	0,00628	1,10043	0,00628	-0,00799585
0,0063	1,63767	0,0063	1,1154	0,0063	-0,00348942
0,00632	1,65376	0,00632	1,12988	0,00632	-0,00381131
0,00634	1,66953	0,00634	1,14501	0,00634	-0,00381131
0,00636	1,68981	0,00636	1,15917	0,00636	-0,00348942
0,00638	1,70864	0,00638	1,1735	0,00638	-0,00558169
0,0064	1,72667	0,0064	1,18782	0,0064	-0,00493791
0,00642	1,74276	0,00642	1,20134	0,00642	-0,00590358
0,00644	1,76192	0,00644	1,21518	0,00644	-0,00397225
0,00646	1,77769	0,00646	1,22886	0,00646	-0,00558169
0,00648	1,79877	0,00648	1,24222	0,00648	-0,00236281
0,0065	1,81664	0,0065	1,25542	0,0065	-0,000270539
0,00652	1,83032	0,00652	1,26829	0,00652	-0,00719113
