Time - V_S	Amplitude - V_S	Time - V_R	Amplitude - V_R	Time - V_C	Amplitude - V_C
0,000378	-2,23738	0,000378	-2,23528	0,000378	-1,55603
0,00038	-2,23158	0,00038	-2,23464	0,00038	-1,55796
0,000382	-2,22965	0,000382	-2,23319	0,000382	-1,55941
0,000384	-2,23013	0,000384	-2,23078	0,000384	-1,56054
0,000386	-2,23174	0,000386	-2,22868	0,000386	-1,56118
0,000388	-2,23045	0,000388	-2,23029	0,000388	-1,56279
0,00039	-2,22852	0,00039	-2,23271	0,00039	-1,56424
0,000392	-2,22804	0,000392	-2,22917	0,000392	-1,56537
0,000394	-2,22852	0,000394	-2,22965	0,000394	-1,56617
0,000396	-2,22723	0,000396	-2,22772	0,000396	-1,56714
0,000398	-2,23206	0,000398	-2,22739	0,000398	-1,56826
0,0004	-2,22562	0,0004	-2,22739	0,0004	-1,56955
0,000402	-2,2282	0,000402	-2,2282	0,000402	-1,571
0,000404	-2,22578	0,000404	-2,22611	0,000404	-1,57165
0,000406	-2,2282	0,000406	-2,22707	0,000406	-1,57277
0,000408	-2,22659	0,000408	-2,22385	0,000408	-1,5739
0,00041	-2,22675	0,00041	-2,22562	0,00041	-1,57503
0,000412	-2,22627	0,000412	-2,22546	0,000412	-1,57615
0,000414	-2,22884	0,000414	-2,22627	0,000414	-1,57712
0,000416	-2,22595	0,000416	-2,22224	0,000416	-1,57776
0,000418	-2,22723	0,000418	-2,22546	0,000418	-1,57889
0,00042	-2,22595	0,00042	-2,22675	0,00042	-1,57986
0,000422	-2,2224	0,000422	-2,22578	0,000422	-1,58066
0,000424	-2,22353	0,000424	-2,22466	0,000424	-1,58211
0,000426	-2,22482	0,000426	-2,22611	0,000426	-1,58259
0,000428	-2,22369	0,000428	-2,22949	0,000428	-1,58404
0,00043	-2,22385	0,00043	-2,22643	0,00043	-1,58436
0,000432	-2,22611	0,000432	-2,22756	0,000432	-1,58549
0,000434	-2,22144	0,000434	-2,22385	0,000434	-1,5863
0,000436	-2,22466	0,000436	-2,22707	0,000436	-1,58694
0,000438	-2,22353	0,000438	-2,22739	0,000438	-1,58774
0,00044	-2,2253	0,00044	-2,22788	0,00044	-1,58871
0,000442	-2,22273	0,000442	-2,22643	0,000442	-1,58919
0,000444	-2,22112	0,000444	-2,22498	0,000444	-1,59064
0,000446	-2,22176	0,000446	-2,22466	0,000446	-1,59032
0,000448	-2,22192	0,000448	-2,2253	0,000448	-1,59161
0,00045	-2,2245	0,00045	-2,22401	0,00045	-1,59177
0,000452	-2,22659	0,000452	-2,22627	0,000452	-1,59306
0,000454	-2,22192	0,000454	-2,22643	0,000454	-1,59402
0,000456	-2,22401	0,000456	-2,2245	0,000456	-1,59451
0,000458	-2,22321	0,000458	-2,22546	0,000458	-1,59499
0,00046	-2,22079	0,00046	-2,22578	0,00046	-1,59563
0,000462	-2,22112	0,000462	-2,22208	0,000462	-1,59644
0,000464	-2,22289	0,000464	-2,22176	0,000464	-1,59676
0,000466	-2,22353	0,000466	-2,22208	0,000466	-1,59805
0,000468	-2,22289	0,000468	-2,2224	0,000468	-1,59821
0,00047	-2,22256	0,00047	-2,22417	0,00047	-1,59918
0,000472	-2,22466	0,000472	-2,2245	0,000472	-1,59885
0,000474	-2,22321	0,000474	-2,22417	0,000474	-1,59966
0,000476	-2,22401	0,000476	-2,22337	0,000476	-1,60046
0,000478	-2,22015	0,000478	-2,22401	0,000478	-1,60079
0,00048	-2,21983	0,00048	-2,22546	0,00048	-1,60175
0,000482	-2,22079	0,000482	-2,22321	0,000482	-1,60191
0,000484	-2,22031	0,000484	-2,22417	0,000484	-1,60272
0,000486	-2,22095	0,000486	-2,22434	0,000486	-1,60352
0,000488	-2,22224	0,000488	-2,2245	0,000488	-1,60368
0,00049	-2,21967	0,00049	-2,2224	0,00049	-1,60384
0,000492	-2,22305	0,000492	-2,22562	0,000492	-1,60465
0,000494	-2,22031	0,000494	-2,2216	0,000494	-1,60497
0,000496	-2,21934	0,000496	-2,22466	0,000496	-1,60545
0,000498	-2,22176	0,000498	-2,2253	0,000498	-1,6061
0,0005	-2,22256	0,0005	-2,22546	0,0005	-1,60658
0,000502	-2,21967	0,000502	-2,22337	0,000502	-1,6069
0,000504	-2,21822	0,000504	-2,22498	0,000504	-1,60723
0,000506	-2,21983	0,000506	-2,22321	0,000506	-1,60803
0,000508	-2,22192	0,000508	-2,22305	0,000508	-1,60787
0,00051	-2,22208	0,00051	-2,22337	0,00051	-1,60851
0,000512	-2,22112	0,000512	-2,22128	0,000512	-1,60867
0,000514	-2,2224	0,000514	-2,22369	0,000514	-1,609
0,000516	-2,22015	0,000516	-2,22305	0,000516	-1,60916
0,000518	-2,22047	0,000518	-2,22095	0,000518	-1,6098
0,00052	-2,2216	0,00052	-2,22128	0,00052	-1,61012
0,000522	-2,21886	0,000522	-2,22289	0,000522	-1,61125
0,000524	-2,21902	0,000524	-2,22208	0,000524	-1,61125
0,000526	-2,21854	0,000526	-2,22095	0,000526	-1,61141
0,000528	-2,21934	0,000528	-2,22031	0,000528	-1,61222
0,00053	-2,22015	0,00053	-2,22112	0,00053	-1,61189
0,000532	-2,22079	0,000532	-2,22208	0,000532	-1,61222
0,000534	-2,21999	0,000534	-2,22273	0,000534	-1,61334
0,000536	-2,21902	0,000536	-2,22176	0,000536	-1,61302
0,000538	-2,22079	0,000538	-2,21951	0,000538	-1,61318
0,00054	-2,21822	0,00054	-2,21741	0,00054	-1,61302
0,000542	-2,21983	0,000542	-2,2187	0,000542	-1,61367
0,000544	-2,21967	0,000544	-2,21934	0,000544	-1,61463
0,000546	-2,215	0,000546	-2,21999	0,000546	-1,61431
0,000548	-2,21886	0,000548	-2,22079	0,000548	-1,61544
0,00055	-2,22031	0,00055	-2,22112	0,00055	-1,61511
0,000552	-2,21934	0,000552	-2,22031	0,000552	-1,61528
0,000554	-2,22063	0,000554	-2,22176	0,000554	-1,61608
0,000556	-2,21854	0,000556	-2,2224	0,000556	-1,61576
0,000558	-2,21838	0,000558	-2,22079	0,000558	-1,61656
0,00056	-2,22047	0,00056	-2,21983	0,00056	-1,6164
0,000562	-2,21484	0,000562	-2,22128	0,000562	-1,61689
0,000564	-2,21854	0,000564	-2,22208	0,000564	-1,61753
0,000566	-2,21967	0,000566	-2,22176	0,000566	-1,61737
0,000568	-2,21709	0,000568	-2,22289	0,000568	-1,61785
0,00057	-2,21757	0,00057	-2,21934	0,00057	-1,61769
0,000572	-2,21902	0,000572	-2,22256	0,000572	-1,61769
0,000574	-2,21677	0,000574	-2,22015	0,000574	-1,61785
0,000576	-2,2179	0,000576	-2,21999	0,000576	-1,61866
0,000578	-2,22015	0,000578	-2,21967	0,000578	-1,6185
0,00058	-2,21902	0,00058	-2,22015	0,00058	-1,61866
0,000582	-2,21645	0,000582	-2,21951	0,000582	-1,61882
0,000584	-2,2224	0,000584	-2,22047	0,000584	-1,61994
0,000586	-2,21806	0,000586	-2,21934	0,000586	-1,61946
0,000588	-2,21951	0,000588	-2,22112	0,000588	-1,61962
0,00059	-2,22337	0,00059	-2,21967	0,00059	-1,61962
0,000592	-2,2187	0,000592	-2,22015	0,000592	-1,62027
0,000594	-2,21806	0,000594	-2,21934	0,000594	-1,61994
0,000596	-2,21596	0,000596	-2,21951	0,000596	-1,62075
0,000598	-2,22047	0,000598	-2,22144	0,000598	-1,62059
0,0006	-2,21725	0,0006	-2,21951	0,0006	-1,62059
0,000602	-2,22015	0,000602	-2,22208	0,000602	-1,62123
0,000604	-2,2187	0,000604	-2,22031	0,000604	-1,62155
0,000606	-2,21983	0,000606	-2,21806	0,000606	-1,62107
0,000608	-2,21806	0,000608	-2,21773	0,000608	-1,62172
0,00061	-2,21886	0,00061	-2,21983	0,00061	-1,62172
0,000612	-2,21645	0,000612	-2,22079	0,000612	-1,62204
0,000614	-2,2179	0,000614	-2,21661	0,000614	-1,62172
0,000616	-2,21918	0,000616	-2,21838	0,000616	-1,6222
0,000618	-2,21468	0,000618	-2,22079	0,000618	-1,62268
0,00062	-2,21951	0,00062	-2,22128	0,00062	-1,62204
0,000622	-2,2187	0,000622	-2,21967	0,000622	-1,6222
0,000624	-2,21806	0,000624	-2,21854	0,000624	-1,62268
0,000626	-2,22128	0,000626	-2,22112	0,000626	-1,623
0,000628	-2,22015	0,000628	-2,22144	0,000628	-1,623
0,00063	-2,21773	0,00063	-2,21934	0,00063	-1,62333
0,000632	-2,21629	0,000632	-2,21999	0,000632	-1,62333
0,000634	-2,21983	0,000634	-2,22047	0,000634	-1,623
0,000636	-2,21902	0,000636	-2,22047	0,000636	-1,62397
0,000638	-2,21902	0,000638	-2,22112	0,000638	-1,62365
0,00064	-2,2179	0,00064	-2,22144	0,00064	-1,62381
0,000642	-2,22176	0,000642	-2,21999	0,000642	-1,62365
0,000644	-2,22063	0,000644	-2,22144	0,000644	-1,62365
0,000646	-2,21612	0,000646	-2,21741	0,000646	-1,62397
0,000648	-2,21822	0,000648	-2,21709	0,000648	-1,62429
0,00065	-2,21693	0,00065	-2,21838	0,00065	-1,62365
0,000652	-2,21677	0,000652	-2,21886	0,000652	-1,62429
0,000654	-2,21693	0,000654	-2,21323	0,000654	-1,62397
0,000656	-2,2187	0,000656	-2,21773	0,000656	-1,62526
0,000658	-2,21612	0,000658	-2,2187	0,000658	-1,62477
0,00066	-2,2158	0,00066	-2,21548	0,00066	-1,62477
0,000662	-2,21548	0,000662	-2,21629	0,000662	-1,62477
0,000664	-2,21323	0,000664	-2,21693	0,000664	-1,62574
0,000666	-2,21725	0,000666	-2,21564	0,000666	-1,62542
0,000668	-2,21822	0,000668	-2,21629	0,000668	-1,62477
0,00067	-2,21934	0,00067	-2,21838	0,00067	-1,62526
0,000672	-2,2224	0,000672	-2,21854	0,000672	-1,6251
0,000674	-2,21532	0,000674	-2,21645	0,000674	-1,62526
0,000676	-2,21532	0,000676	-2,21999	0,000676	-1,62526
0,000678	-2,21741	0,000678	-2,21806	0,000678	-1,62558
0,00068	-2,21741	0,00068	-2,21757	0,00068	-1,62542
0,000682	-2,215	0,000682	-2,21918	0,000682	-1,62558
0,000684	-2,21677	0,000684	-2,21999	0,000684	-1,62542
0,000686	-2,21757	0,000686	-2,22031	0,000686	-1,6259
0,000688	-2,21661	0,000688	-2,21854	0,000688	-1,62574
0,00069	-2,21934	0,00069	-2,21854	0,00069	-1,6259
0,000692	-2,21371	0,000692	-2,21838	0,000692	-1,62606
0,000694	-2,2179	0,000694	-2,21983	0,000694	-1,62622
0,000696	-2,2187	0,000696	-2,21838	0,000696	-1,62606
0,000698	-2,22176	0,000698	-2,2187	0,000698	-1,62622
0,0007	-2,21484	0,0007	-2,21757	0,0007	-1,62622
0,000702	-2,21854	0,000702	-2,21854	0,000702	-1,62622
0,000704	-2,22401	0,000704	-2,21693	0,000704	-1,62655
0,000706	-2,21661	0,000706	-2,21773	0,000706	-1,62622
0,000708	-2,21693	0,000708	-2,22031	0,000708	-1,62655
0,00071	-2,21725	0,00071	-2,21822	0,00071	-1,62687
0,000712	-2,21773	0,000712	-2,2158	0,000712	-1,62735
0,000714	-2,21854	0,000714	-2,21886	0,000714	-1,62687
0,000716	-2,21757	0,000716	-2,21822	0,000716	-1,62735
0,000718	-2,22256	0,000718	-2,21934	0,000718	-1,62719
0,00072	-2,21918	0,00072	-2,21967	0,00072	-1,62735
0,000722	-2,21645	0,000722	-2,21902	0,000722	-1,62655
0,000724	-2,21596	0,000724	-2,21725	0,000724	-1,62735
0,000726	-2,21983	0,000726	-2,21951	0,000726	-1,62751
0,000728	-2,21918	0,000728	-2,2179	0,000728	-1,62735
0,00073	-2,21886	0,00073	-2,21806	0,00073	-1,62767
0,000732	-2,21757	0,000732	-2,22063	0,000732	-1,62767
0,000734	-2,2187	0,000734	-2,21854	0,000734	-1,62767
0,000736	-2,21838	0,000736	-2,21709	0,000736	-1,62767
0,000738	-2,21709	0,000738	-2,21677	0,000738	-1,62783
0,00074	-2,215	0,00074	-2,21741	0,00074	-1,62735
0,000742	-2,21645	0,000742	-2,21934	0,000742	-1,62767
0,000744	-2,21967	0,000744	-2,21934	0,000744	-1,62816
0,000746	-2,21934	0,000746	-2,21854	0,000746	-1,62783
0,000748	-2,21822	0,000748	-2,22031	0,000748	-1,62767
0,00075	-2,21757	0,00075	-2,2179	0,00075	-1,62816
0,000752	-2,21532	0,000752	-2,2179	0,000752	-1,62783
0,000754	-2,22047	0,000754	-2,21983	0,000754	-1,62783
0,000756	-2,21773	0,000756	-2,21967	0,000756	-1,62783
0,000758	-2,21918	0,000758	-2,21951	0,000758	-1,62767
0,00076	-2,21693	0,00076	-2,22031	0,00076	-1,62832
0,000762	-2,21741	0,000762	-2,21934	0,000762	-1,62799
0,000764	-2,22031	0,000764	-2,22208	0,000764	-1,6288
0,000766	-2,21886	0,000766	-2,21886	0,000766	-1,62799
0,000768	-2,21596	0,000768	-2,21725	0,000768	-1,62832
0,00077	-2,21886	0,00077	-2,21886	0,00077	-1,62783
0,000772	-2,22079	0,000772	-2,22273	0,000772	-1,62832
0,000774	-2,21596	0,000774	-2,22079	0,000774	-1,62864
0,000776	-2,2158	0,000776	-2,21934	0,000776	-1,62864
0,000778	-2,21661	0,000778	-2,2187	0,000778	-1,62864
0,00078	-2,21709	0,00078	-2,22144	0,00078	-1,62896
0,000782	-2,22079	0,000782	-2,2187	0,000782	-1,62767
0,000784	-2,21822	0,000784	-2,21741	0,000784	-1,62864
0,000786	-2,21612	0,000786	-2,2187	0,000786	-1,62896
0,000788	-2,21677	0,000788	-2,22015	0,000788	-1,62864
